400,8,0six,1five,2four,3three,4four,5one
0.2001166,0.005574136,6.22E-05,9.29E-05,-3.75E-09,6.69E-06,5.98E-09,1
0.202187593,0.005242959,6.41E-05,0.000110634,-5.15E-09,7.87E-06,7.77E-09,1
0.202810564,0.005143889,7.02E-05,0.000115282,-5.87E-09,8.14E-06,8.55E-09,1
0.203760608,0.004981806,7.56E-05,0.000122635,-6.80E-09,8.57E-06,9.65E-09,1
0.204603213,0.004889965,8.14E-05,0.000128917,-7.74E-09,8.94E-06,1.07E-08,1
0.205924115,0.004671551,9.49E-05,0.000138763,-9.42E-09,9.42E-06,1.28E-08,1
0.207366124,0.00447504,0.000104846,0.000149902,-1.11E-08,9.93E-06,1.52E-08,1
0.208569942,0.004402168,0.000117678,0.00015827,-1.24E-08,1.04E-05,1.77E-08,1
0.209339493,0.004320853,0.000116874,0.000164898,-1.27E-08,1.06E-05,1.90E-08,1
0.209936072,0.004267158,0.00011975,0.00016998,-1.35E-08,1.07E-05,2.01E-08,1
0.210607573,0.004120747,0.000110417,0.000178382,-1.39E-08,1.10E-05,2.08E-08,1
0.211438724,0.004008912,0.000110933,0.00018354,-1.51E-08,1.09E-05,2.14E-08,1
0.213054626,0.003943814,0.000102029,0.00020535,-1.75E-08,1.19E-05,2.40E-08,1
0.213788515,0.004005301,0.000109718,0.000207719,-1.88E-08,1.20E-05,2.51E-08,1
0.214578598,0.004247188,0.00012462,0.000209513,-1.94E-08,1.25E-05,2.77E-08,1
0.214137266,0.004513539,0.000146811,0.00019453,-1.88E-08,1.19E-05,2.69E-08,1
0.215803198,0.004296924,0.000161309,0.000210177,-2.10E-08,1.21E-05,3.25E-08,1
0.21701456,0.004078681,0.000174702,0.000216361,-2.37E-08,1.20E-05,3.48E-08,1
0.217868134,0.004088564,0.000183867,0.000219803,-2.57E-08,1.23E-05,3.60E-08,1
